Наименование,"Выручка, ₽",ИНН
"ПАО ""НК ""РОСНЕФТЬ""",8 трлн,7706107510
"ПАО ""ГАЗПРОМ""",6 трлн,7736050003
"ПАО ""ГАЗПРОМ НЕФТЬ""",3 трлн,5504036333
"ПАО ""ЛУКОЙЛ""",2 трлн,7708004767
"ОАО ""РЖД""",2 трлн,7708503727
"АО ""ТАНДЕР""",2 трлн,2310031475
"ООО ""АГРОТОРГ""",2 трлн,7825706086
"ООО ""ГАЗПРОМ МЕЖРЕГИОНГАЗ""",1 трлн,5003021311
"ПАО ""ТАТНЕФТЬ"" ИМ. В.Д. ШАШИНА",1 трлн,1644003838
"ООО ""ЛУКОЙЛ-ЗАПАДНАЯ СИБИРЬ""",1 трлн,8608048498
"ПАО ""ТРАНСНЕФТЬ""",998 млрд,7706061801
"АО ""ТК ""МЕГАПОЛИС""",902 млрд,5003052454
"ПАО ""ГМК ""НОРИЛЬСКИЙ НИКЕЛЬ""",856 млрд,8401005730
"ПАО ""НЛМК""",793 млрд,4823006703
"ПАО ""ММК""",786 млрд,7414003633
"ООО ""ГАЗПРОМНЕФТЬ-РЕГИОНАЛЬНЫЕ ПРОДАЖИ""",786 млрд,4703105075
"АО ""ТОРГОВЫЙ ДОМ ""ПЕРЕКРЕСТОК""",779 млрд,7728029110
"ПАО ""СЕВЕРСТАЛЬ""",770 млрд,3528000597
"ПАО ""СИБУР ХОЛДИНГ""",731 млрд,7727547261
"ПАО ""НОВАТЭК""",730 млрд,6316031581
"АО ""КОЛЬСКАЯ ГМК""",715 млрд,5191431170
"ПАО АНК ""БАШНЕФТЬ""",659 млрд,274051582
"АО ""РУСАЛ""",596 млрд,7709329253
"ООО ""СТРОЙГОРОД""",593 млрд,9705074590
"АО ""ГАЗСТРОЙПРОМ""",579 млрд,7842155505
"ООО ""ДНС РИТЕЙЛ""",562 млрд,2540167061
"ОАО ""ЯМАЛ СПГ""",562 млрд,7709602713
"АО ""КОНЦЕРН РОСЭНЕРГОАТОМ""",528 млрд,7721632827
"ООО ""ГЛОБУС""",500 млрд,6670450790
"ООО ""ЛУКОЙЛ-КОМИ""",499 млрд,1106014140
"ООО ""ЛЕНТА""",496 млрд,7814148471
"ООО ""ГАЗПРОМ КАПИТАЛ""",487 млрд,7726588547
"АО ""ХК ""МЕТАЛЛОИНВЕСТ""",484 млрд,7705392230
"ООО ""МВМ""",476 млрд,7707548740
"ООО ""ЛЕРУА МЕРЛЕН ВОСТОК""",457 млрд,5029069967
"ООО ""ЛУКОЙЛ-ПЕРМЬ""",452 млрд,5902201970
"АО ""МОСЭНЕРГОСБЫТ""",425 млрд,7736520080
"ООО ""ГАЗПРОМ ДОБЫЧА УРЕНГОЙ""",407 млрд,8904034784
"ООО ""ФМСМ""",393 млрд,7710298176
"ООО ""ЭППЛ РУС""",386 млрд,7707767220
"ПАО ""АЭРОФЛОТ""",379 млрд,7712040126
"ПАО ""МТС""",373 млрд,7740000076
"ООО ""ВЕЛЕС АКТИВ""",372 млрд,5015005970
"АО ""ЕВРАЗ ЗСМК""",365 млрд,4218000951
"ООО ""ГАЗПРОМНЕФТЬ-ХАНТОС""",365 млрд,8618006063
"ООО ""ЛУКОЙЛ-РНП-ТРЕЙДИНГ""",364 млрд,9705083130
"АО ""АПАТИТ""",362 млрд,5103070023
"АО ""ТРЕНД""",356 млрд,7708729065
"ООО ""ФОЛЬКСВАГЕН ГРУП РУС""",355 млрд,5042059767
"ПАО ""РОСТЕЛЕКОМ""",351 млрд,7707049388
"ООО ""ДЖ.Т.И. РОССИЯ""",344 млрд,7703386329
"ООО ""ТОЙОТА МОТОР""",332 млрд,7710390358
"ООО ""ГАЗПРОМ НЕФТЕХИМ САЛАВАТ""",327 млрд,266048970
"ООО ""ГАЗПРОМ ДОБЫЧА ЯМБУРГ""",326 млрд,8904034777
"АО ""ОРЕНБУРГНЕФТЬ""",324 млрд,5612002469
"ООО ""РН-ЮГАНСКНЕФТЕГАЗ""",324 млрд,8604035473
"ООО ""ЛОГОС""",323 млрд,7723849543
"ПАО ""ТМК""",322 млрд,7710373095
"ООО ""КРЕДИТ СВИСС СЕКЬЮРИТИЗ (МОСКВА)""",322 млрд,7705183980
"ООО ""ХОЛДИНГОВАЯ КОМПАНИЯ ""ДОМИНАНТА""",318 млрд,7708780174
"АО ""ДИКСИ ЮГ""",316 млрд,5036045205
"АО ""ГАЗПРОМНЕФТЬ-ННГ""",313 млрд,8905000428
"ПАО ""МЕГАФОН""",313 млрд,7812014560
"АО ""ВОСТОКТРАНССЕРВИС""",310 млрд,2538003718
"АО ""АВТОВАЗ""",301 млрд,6320002223
"ООО ""НОВАТЭК-УСТЬ-ЛУГА""",298 млрд,4707026057
"АО ""ЕВРАЗ НТМК""",298 млрд,6623000680
"АО ""АРКТИКГАЗ""",295 млрд,8904002359
"ООО ""СЭРК""",289 млрд,7703608910
"ПАО ""ВЫМПЕЛКОМ""",286 млрд,7713076301
"ООО ""ЛУКОЙЛ-НИЖНЕВОЛЖСКНЕФТЬ""",282 млрд,3444070534
"АО ""ЛЕБЕДИНСКИЙ ГОК""",282 млрд,3127000014
"ОАО ""УРАЛЬСКАЯ ГОРНО-МЕТАЛЛУРГИЧЕСКАЯ КОМПАНИЯ"", ОАО ""УГМК""",279 млрд,6606013640
"ООО ""КИА РОССИЯ И СНГ""",276 млрд,7728674093
"АО ""МЕРСЕДЕС-БЕНЦ РУС""",275 млрд,7707016368
АО АСЭ,275 млрд,7701186067
"ООО ""МЕРЛИОН""",274 млрд,7719269331
"ООО ""НОВАТЭК-ЮРХАРОВНЕФТЕГАЗ""",274 млрд,8903021599
"ПАО ""УРАЛКАЛИЙ""",269 млрд,5911029807
"АО ""УК ""КУЗБАССРАЗРЕЗУГОЛЬ""",264 млрд,4205049090
"АО ""КЗ ""ОТРАДНОЕ""",263 млрд,7715038380
"АК ""АЛРОСА"" (ПАО)",262 млрд,1433000147
"ООО ""ФК ПУЛЬС""",260 млрд,5047045359
"ПАО ""Т ПЛЮС""",259 млрд,6315376946
"ООО ""ОЙЛ ТЕХНОЛОДЖИС""",257 млрд,7728731619
"ООО ""ЭЛЛАДА ИНТЕРТРЕЙД""",255 млрд,3906072056
"ПАО ""НИЖНЕКАМСКНЕФТЕХИМ""",255 млрд,1651000010
"АО ""ФОРТЕИНВЕСТ""",253 млрд,7707743204
"ГБУЗ ТО ""ОБСМЭ""",252 млрд,7203058175
"АО ""РОЛЬФ""",251 млрд,5047254063
"ПАО ""КАМАЗ""",248 млрд,1650032058
"ПАО ""ФСК ЕЭС""",248 млрд,4716016979
"ООО ""ГАЗПРОМ ГНП ХОЛДИНГ""",247 млрд,3906229324
"ООО ""ГАЗПРОМ ТРАНСГАЗ ЮГОРСК""",247 млрд,8622000931
"ООО ""СНС-ХОЛДИНГ""",245 млрд,5032260402
"АО ""МИХАЙЛОВСКИЙ ГОК ИМ. А.В. ВАРИЧЕВА""",239 млрд,4633001577
"ООО ""ГАЗПРОМ ТРАНСГАЗ УХТА""",237 млрд,1102024468
"ООО ""ГАЗПРОМ ДОБЫЧА НАДЫМ""",235 млрд,8903019871
"АО НПК ""КАТРЕН""",231 млрд,5408130693
"ООО ""БМВ РУСЛАНД ТРЕЙДИНГ""",229 млрд,7712107050
"ПАО НК ""РУССНЕФТЬ""",229 млрд,7717133960
"ООО ""АШАН""",229 млрд,7703270067
"ООО ""ГАЗПРОМНЕФТЬ-ЯМАЛ""",228 млрд,8901001822
"ООО ""БЭСТ ПРАЙС""",226 млрд,5047085094
"АО ""МУМТ""",225 млрд,7705060700
"ООО ""ВАЙЛДБЕРРИЗ""",225 млрд,7721546864
"ПАО ""МОСЭНЕРГО""",225 млрд,7705035012
"ООО ""ХЕНДЭ МОТОР СНГ""",224 млрд,7703623202
"АО ""ИНТЕР РАО-ЭЛЕКТРОГЕНЕРАЦИЯ""",222 млрд,7704784450
"ООО ""МЕТРО КЭШ ЭНД КЕРРИ""",221 млрд,7704218694
"АО ""МЕТАЛЛСЕРВИС""",221 млрд,7721040281
АО ЦВ ПРОТЕК,220 млрд,7724053916
"ООО ""СЕВЕРГРУПП""",218 млрд,3528080360
"ООО ""О-СИ-ЭС-ЦЕНТР""",217 млрд,7701341820
"АО ""ПОЧТА РОССИИ""",217 млрд,7724490000
"ООО КОРПОРАЦИЯ ""ГЕФЕСТ""",216 млрд,5001130259
"АО ""ВЧНГ""",215 млрд,3808079367
"ООО ""ИНК""",214 млрд,3808066311
"ООО ""ЯНДЕКС""",209 млрд,7736207543
"ООО ""ТСК""",209 млрд,7751075683
"АО ""ПОЛЮС КРАСНОЯРСК""",209 млрд,2434000335
"ООО ""ОСТИСИ - АТОН""",208 млрд,7701375466
"ООО ""ХММР""",207 млрд,7801463902
"АО ""МОСИНЖПРОЕКТ""",206 млрд,7701885820
"ООО ""КРЦ ""ЭФКО - КАСКАД""",205 млрд,3122503751
"ООО ""РУСЭНЕРГОСБЫТ""",200 млрд,7706284124
"ООО ""Т2 МОБАЙЛ""",194 млрд,7743895280
"ООО ""ОАЗИС""",192 млрд,274192135
"ООО ""АЛЬФА-М""",191 млрд,7743931676
"ООО ""АВИКС""",191 млрд,9204018098
"ООО ""АГРОАСПЕКТ""",191 млрд,7715277300
"ПАО ""РУСГИДРО""",190 млрд,2460066195
"ООО ""НЕСТЛЕ РОССИЯ""",190 млрд,7705739450
"АО ""СТРОЙСЕРВИС""",188 млрд,4234001215
"АО ""ФПК""",188 млрд,7708709686
"АО ""ВМЗ""",188 млрд,5247004695
"АО ""НИПИГАЗ""",188 млрд,2310004087
"ООО ""ЛУКОЙЛ-ЦЕНТРНЕФТЕПРОДУКТ""",188 млрд,7701285928
"АО ""ТЕХСНАБЭКСПОРТ""",186 млрд,7706039242
"АО ""Р-ФАРМ""",185 млрд,7726311464
"ООО ""КДВ ГРУПП""",185 млрд,7017094419
"АО ""ТВЭЛ""",185 млрд,7706123550
"ООО ""АК ЭЙРБРИДЖКАРГО""",185 млрд,7704548011
"АО ""СУЭК-КУЗБАСС""",183 млрд,4212024138
"ПАО ""КОРПОРАЦИЯ ""ИРКУТ""",183 млрд,3807002509
"ООО ""РИТЭК""",182 млрд,6317130144
"ПАО ""РОССЕТИ МОСКОВСКИЙ РЕГИОН"", ПАО ""РОССЕТИ МР""",182 млрд,5036065113
"ООО ""ОКЕАН""",182 млрд,2925006579
"АО ""СТОЙЛЕНСКИЙ ГОК""",182 млрд,3128011788
"АО ""ГРУППА ""ИЛИМ""",180 млрд,7840346335
"ООО ""КНГК-ИНПЗ""",180 млрд,2308128110
"ПАО ""МОЭК""",180 млрд,7720518494
"ООО ""АЛЬБИОН-2002""",178 млрд,5257056036
"ПАО ""УДМУРТНЕФТЬ"" ИМ. В.И. КУДИНОВА",178 млрд,1831034040
"ООО ""ТД ""РИФ""",177 млрд,6165161667
"ПАО ""ЧМК""",177 млрд,7450001007
"ООО ""МАРВЕЛ КТ""",175 млрд,7811365157
"АО ""МЕССОЯХАНЕФТЕГАЗ""",175 млрд,8910002621
АО «РМК»,175 млрд,6670061296
"ПАО ""ДЕТСКИЙ МИР""",170 млрд,7729355029
"АО ""НЗНП""",168 млрд,6151012111
"ООО ""ГАЗПРОМ МЕЖРЕГИОНГАЗ МОСКВА""",168 млрд,5009033419
"ООО ""СН КАПИТАЛ""",166 млрд,2310207915
"ООО ""РУК""",166 млрд,4253029657
"ООО ""АВТОФИНАНС""",165 млрд,5006009489
"ООО ""ПРОМЕТЕЙ""",165 млрд,5074053542
"ООО ""ТК ""МИРАТОРГ""",165 млрд,5009072150
АО «ТОМСКНЕФТЬ» ВНК,163 млрд,7022000310
"МКПАО ""ОК РУСАЛ""",163 млрд,3906394938
"АО ""ОЭМК ИМ. А.А. УГАРОВА""",162 млрд,3128005752
"АО ""ВКУСВИЛЛ""",162 млрд,7734443270
"ООО НПО ""СИСТЕМА""",161 млрд,7448156772
"ООО ""СЛАВЯНСК ЭКО""",161 млрд,2370000496
"ООО ""ПЕПСИКО ХОЛДИНГС""",161 млрд,7705034202
"АО ""КАРЕЛЬСКИЙ ОКАТЫШ""",160 млрд,1004001744
"ООО ""ГАЗПРОМНЕФТЬ-ЗАПОЛЯРЬЕ""",159 млрд,7728720448
"ООО ""ЛУКОЙЛ-УРАЛНЕФТЕПРОДУКТ""",158 млрд,7453011758
"ООО ПО ""УРАЛВТОРМЕТ""",158 млрд,6685099285
"ООО ""ИКЕА ДОМ""",157 млрд,5047076050
"ГУП ""МОСКОВСКИЙ МЕТРОПОЛИТЕН""",157 млрд,7702038150
"ООО ""О`КЕЙ""",156 млрд,7826087713
"АО ""АВИАКОМПАНИЯ ""СИБИРЬ""",156 млрд,5448100656
"ООО ""СИТИЛИНК""",156 млрд,7718979307
"ООО ""ИРИНА""",156 млрд,6732201764
"ООО ""МАРС""",155 млрд,5045016560
"АО МАЗ ""МОСКВИЧ""",155 млрд,7709259743
"ООО ""ГАЗПРОМ ПЕРЕРАБОТКА""",155 млрд,1102054991
"ООО ""ЛИКАРД""",154 млрд,3444197347
"ООО ""ЛУКОЙЛ-ЮГНЕФТЕПРОДУКТ""",153 млрд,2309051942
"ООО ""ПРАЙД""",152 млрд,6164116407
"АО ""ЦЭУ""",149 млрд,9722010773
"АО ""ПЕТЕРБУРГСКАЯ СБЫТОВАЯ КОМПАНИЯ""",149 млрд,7841322249
"ООО ""НОВАТЭК-ТАРКОСАЛЕНЕФТЕГАЗ""",148 млрд,8911020768
"АО ""ФАРМСТАНДАРТ""",145 млрд,274110679
"ПАО ""СН-МНГ""",145 млрд,8605003932
"ООО ""ВТОРЧЕРМЕТ НЛМК""",143 млрд,7705741770
"ООО ""ГАЗПРОМ ГНП ПРОДАЖИ""",143 млрд,1515919573
"АО ""УРАЛЬСКАЯ СТАЛЬ""",141 млрд,5607019523
"ПАО ""ОГК-2""",141 млрд,2607018122
"ООО ""ВЕЛЕССТРОЙ""",141 млрд,7709787790
"АО ""СПК""",140 млрд,6671197148
"ООО ""ЭЛЕМЕНТ-ТРЕЙД""",139 млрд,6674121179
"ООО ""ТД ЧЕРКИЗОВО""",137 млрд,5032046575
"АО ""РЭТ""",137 млрд,9723149016
"ООО ""ТЕХНОНИКОЛЬ-СТРОИТЕЛЬНЫЕ СИСТЕМЫ""",137 млрд,7702521529
"АО ""ТРАНСНЕФТЬ - СИБИРЬ""",136 млрд,7201000726
"АО ""СТНГ""",135 млрд,7714572888
"ООО ""ТЕБОЙЛ РУС""",135 млрд,7743792870
"ООО ""ГУГЛ""",134 млрд,7704582421
"ПАО ""ТРАНСКОНТЕЙНЕР""",134 млрд,7708591995
"ООО ТОРГОВЫЙ ДОМ ""СОДРУЖЕСТВО""",132 млрд,3913011336
"АО ""ФИЛИП МОРРИС ИЖОРА""",131 млрд,4720007247
"МК ""ГЕРШВИН""",130 млрд,3906386366
"АО ""АВИЛОН АГ""",129 млрд,7705133757
"ООО ""СПОРТМАСТЕР""",129 млрд,7728551528
"АО ""КТК-Р""",128 млрд,2310040800
"АО ""ПО ""СЕВМАШ""",127 млрд,2902059091
"АО ""РЖДСТРОЙ""",127 млрд,7708587205
"ООО ""ГАЗПРОМ МЕЖРЕГИОНГАЗ САНКТ-ПЕТЕРБУРГ""",126 млрд,7838056212
"ООО ""СЛАДКАЯ ЖИЗНЬ Н.Н.""",124 млрд,5257041777
"ООО ""БЕРКС""",124 млрд,7743856281
"АО ""ОДК""",124 млрд,7731644035
"ООО ""ЛУКОЙЛ-АЭРО""",121 млрд,7702354081
"ООО ""ПРОКТЕР ЭНД ГЭМБЛ ДИСТРИБЬЮТОРСКАЯ КОМПАНИЯ""",121 млрд,7701639976
"ООО ""ГАЗПРОМ ДОБЫЧА НОЯБРЬСК""",121 млрд,8905026850
"АО ""АВИАКОМПАНИЯ ""РОССИЯ""",120 млрд,7810814522
"ООО ""ЛГ ЭЛЕКТРОНИКС РУС""",120 млрд,5075018950
"ООО ""ГИПЕРГЛОБУС""",120 млрд,7743543761
"ПАО ""ФОСАГРО""",120 млрд,7736216869
"ООО ""ДК РУС""",119 млрд,7714790325
"АО ""ГЕНЕРИУМ""",119 млрд,3321027747
"ООО ""КАРГИЛЛ""",118 млрд,7113502396
"ООО ""ТТК""",117 млрд,7017405576
"ООО ""ГАЗПРОМ НЕФТЬ ШЕЛЬФ""",117 млрд,7725610285
"АО ""ЭНЕРГОСБЫТ ПЛЮС""",117 млрд,5612042824
"ООО ""РУСИНВЕСТ""",116 млрд,7705551779
"АО ""ЧТПЗ""",114 млрд,7449006730
"ПАО ""РУСАЛ БРАТСК""",114 млрд,3803100054
"ООО ""РОЗНИЦА К-1""",113 млрд,2225074005
"ООО ""ТД ""ЭЛЕКТРОТЕХМОНТАЖ""",113 млрд,7804526950
"ООО ""ТЕХКОМПАНИЯ ХУАВЭЙ """,113 млрд,7714186804
"АО ""ЕВРАЗ КГОК""",113 млрд,6615001962
"ПАО ""ДЭК""",112 млрд,2723088770
"АО ""КОМПРЕССОРМАШРЕМСЕРВИС""",111 млрд,1659031740
"ООО ""МЕЧЕЛ-СЕРВИС""",111 млрд,7704555837
ООО «ДЕМЕТРА ТРЕЙДИНГ»,110 млрд,2310175205
"ООО ""ДАНОН ТРЕЙД""",110 млрд,5024121469
"АО ""НТК""",109 млрд,5024209089
"ООО ""ОБЪЕДИНЕННАЯ МЕТАЛЛОБАЗА""",109 млрд,7820077476
"ООО ""РН-ЭНЕРГО""",109 млрд,7706525041
"АО ""АСТОН""",108 млрд,6162015019
"ООО ""ЧЕЗАР""",108 млрд,9710088655
"АО ""ВБД""",108 млрд,7713085659
"АО ""АЛТАЙ-КОКС""",107 млрд,2205001753
"ООО ""ОИЛКАРД""",107 млрд,6729036694
"АО ""РОСПАН ИНТЕРНЕШНЛ""",107 млрд,7727004530
"ПАО ""РОССЕТИ ЦЕНТР И ПРИВОЛЖЬЕ""",106 млрд,5260200603
"ПАО ""КАЗАНЬОРГСИНТЕЗ""",106 млрд,1658008723
"АО ""ННК - ННП""",106 млрд,8603089941
"ООО ""МФП""",106 млрд,7705574342
"ООО ""СЕТЬ СВЯЗНОЙ""",105 млрд,7714617793
"ООО ""КОПЕЙКА-МОСКВА""",105 млрд,7715196234
"ООО ""СОКАР ЭНЕРГОРЕСУРС""",105 млрд,7704492055
"ООО ""ГАЗПРОМ ТРАНСГАЗ ТОМСК""",105 млрд,7017005289
"АО ""АЧИМГАЗ""",105 млрд,8904047896
"ООО ""ДСК""",104 млрд,7715941601
"ООО ""ЭЛЬГАУГОЛЬ""",103 млрд,1434045743
"ПАО ""РОССЕТИ ЦЕНТР""",103 млрд,6901067107
"АО ""ТРАНСМАШХОЛДИНГ""",103 млрд,7723199790
"ООО ""ГАЗПРОМ ДОБЫЧА ОРЕНБУРГ""",103 млрд,5610058025
"АО ""МК-М""",103 млрд,7718134701
"ООО ""ИКЕА ТОРГ""",103 млрд,5047028515
"АО ""АГРОПРОДУКТ""",103 млрд,3913501820
"ООО ""СК ""РУСВЬЕТПЕТРО""",102 млрд,7701791321
"АО ""НАЦИМБИО""",101 млрд,7703801737
"ООО ""КОМАЦУ СНГ""",101 млрд,7733556360
"ООО ""ГАЗПРОМ БУРЕНИЕ""",101 млрд,5003026493
"ООО ""АБИНСКИЙ ЭЛЕКТРОМЕТАЛЛУРГИЧЕСКИЙ ЗАВОД"", ООО ""АЭМЗ""",101 млрд,2323025302
"ООО ""ФК ГРАНД КАПИТАЛ""",100 млрд,7729418511
"ООО ""НИССАН МЭНУФЭКЧУРИНГ РУС""",100 млрд,7842337791
"ООО ""СБК""",100 млрд,7736611795
"ООО ""АТИ""",98 млрд,7706806518
"ПАО ""ТГК-1""",98 млрд,7841312071
"ООО ""СТД ""ПЕТРОВИЧ""",98 млрд,7802348846
"АО ""ИНК-ЗАПАД""",98 млрд,3808208157
"АО ""НХС""",98 млрд,4217102358
"ООО""ТРАНСНЕФТЬ - ВОСТОК""",97 млрд,3801079671
"ООО ""ТОРГОВЫЙ ДОМ ММК""",97 млрд,7445042181
"АО ""ЕВРАЗ МАРКЕТ""",97 млрд,6154062128
"ООО ""ГРК ""БЫСТРИНСКОЕ""",96 млрд,7701568891
"ООО ""ППР""",96 млрд,7743036465
"ОАО АК ""УРАЛЬСКИЕ АВИАЛИНИИ""",96 млрд,6608003013
"ООО ""ЛУКОЙЛ-СЕВЕРО-ЗАПАДНЕФТЕПРОДУКТ""",95 млрд,7825439514
"ООО ""ХЕНКЕЛЬ РУС""",95 млрд,7702691545
"ООО ""ГАЗПРОМ ТРАНСГАЗ СУРГУТ""",95 млрд,8617002073
"АО ""НЛМК-УРАЛ""",95 млрд,6646009256
"ПАО ""ЮНИПРО""",94 млрд,8602067092
"ООО ""МУЛТОН ПАРТНЕРС""",94 млрд,7701215046
"ООО ""АТЛАС""",94 млрд,2543069263
"ООО ""ТРАНССТРОЙМЕХАНИЗАЦИЯ""",94 млрд,7715568411
"ООО ""ИК ""ИНТРАСТ""",94 млрд,7709453405
"ПАО ""РОССЕТИ ЛЕНЭНЕРГО""",93 млрд,7803002209
"АО ""ПНТЗ""",93 млрд,6625004271
"ООО ""ДИХАУС""",93 млрд,7709751313
"ООО ""ТН-АЗС-ЗАПАД""",93 млрд,5009053687
"ООО ""РЕГИОН ФИНАНСОВЫЕ УСЛУГИ""",93 млрд,7706444025
"АО ""БИОКАД""",93 млрд,5024048000
"ООО ""СОЮЗ СВ. ИОАННА ВОИНА""",93 млрд,7729705354
"ООО ""МЕРКУРИ МОДА""",93 млрд,5032277847
"АО ""СЕВЕРСТАЛЬ ДИСТРИБУЦИЯ""",93 млрд,3528015184
"АО ""ТОМИНСКИЙ ГОК""",92 млрд,7403005526
"ООО ""ГАЗПРОМ ДОБЫЧА АСТРАХАНЬ""",92 млрд,3006006420
"ООО ""ТАТНЕФТЬ-АЗС ЦЕНТР""",92 млрд,1644040195
"ООО ""ИНВЕСТНЕФТЕТРЕЙД""",91 млрд,7729481489
"ПАО ""ОДК-УМПО""",91 млрд,273008320
"АО ""ТАНЕКО""",91 млрд,1651044095
"АО ""НАК ""АЗОТ""",91 млрд,7116000066
"ООО ТК ""РЕСУРС-ЮГ""",91 млрд,2303024188
"ООО ""КОМУС""",90 млрд,7721793895
"ООО ""ЗАПСИБНЕФТЕХИМ""",89 млрд,1658087524
"АО ""ПГК""",89 млрд,7725806898
"ПАО ""ИНТЕР РАО""",89 млрд,2320109650
"ООО ""РН-РАЗВЕДКА И ДОБЫЧА""",88 млрд,2322026840
"АО ""ТУЛАЧЕРМЕТ""",88 млрд,7105008031
"ООО ""ЯРГЕО""",88 млрд,8901014564
"ООО ""ГАЗПРОМНЕФТЬ-ОРЕНБУРГ""",87 млрд,5610218014
"АО ""РТК""",87 млрд,7709356049
"АО ""ГАЗПРОМ МЕЖРЕГИОНГАЗ КАЗАНЬ""",86 млрд,1660031631
"АО ""БАЙЕР""",86 млрд,7704017596
"ООО ""ЭКСПОТРАНС""",86 млрд,2460115406
"ООО ""ВАКЦИНА ЧЕЛОВЕКА""",86 млрд,9703017050
"АО ""ГАЗПРОМ ЭНЕРГОСБЫТ""",86 млрд,7705750968
"ООО ""ЮНИЛЕВЕР РУСЬ""",86 млрд,7705183476
"АО ""АБ ИНБЕВ ЭФЕС""",85 млрд,5020037784
"АО ""ГАЗПРОМНЕФТЬ-АЭРО""",85 млрд,7714117720
"АО ""ДАНОН РОССИЯ""",85 млрд,7714626332
"ООО ""ЛАЙТ-ИНВЕСТ""",84 млрд,274936578
"АО ""НЕВИННОМЫССКИЙ АЗОТ""",84 млрд,2631015563
"ООО ""ГЕРМЕС""",84 млрд,9701126760
"АО ""СИБАНТРАЦИТ""",83 млрд,5406192366
"ООО ""ГНП СЕТЬ""",83 млрд,6164317329
"ОАО ""МРСК УРАЛА""",83 млрд,6671163413
"ООО ""ПИВОВАРЕННАЯ КОМПАНИЯ ""БАЛТИКА""",83 млрд,7802849641
"ПАО ""ФОРТУМ""",83 млрд,7203162698
"АО ""РУСАЛ КРАСНОЯРСК""",82 млрд,2465000141
"ПАО ""КУЙБЫШЕВАЗОТ""",82 млрд,6320005915
"ООО ""ГАЗПРОМ ТРАНСГАЗ САНКТ-ПЕТЕРБУРГ""",82 млрд,7805018099
"ООО ""СОЛИД-НК""",82 млрд,1651034393
"АО ""ВАД""",82 млрд,7802059185
"АО ""ВОЕНТОРГ""",81 млрд,7704726183
"ФГУП ""ГОСКОРПОРАЦИЯ ПО ОРВД""",81 млрд,7734135124
"АО ""УГОЛЬ-ТРАНС""",81 млрд,5047210316
"ООО ""МЕЖДУНАРОДНЫЙ ФОНД ЧАСТНЫХ ИНВЕСТИЦИЙ""",81 млрд,5017056378
"ООО ""ЯНДЕКС.ТАКСИ""",81 млрд,7704340310
"ООО ""АЛЬКОР И КО""",80 млрд,7729265128
"ООО ""РЕСУРС НАФТА""",80 млрд,7709680944
"АО ""ДГК""",80 млрд,1434031363
"ООО ""ДЖОНСОН & ДЖОНСОН""",80 млрд,7725216105
"ООО ""РЕГИНА""",80 млрд,4205370289
"ООО ""ВТОРРЕСУРС-ПЕРЕРАБОТКА""",79 млрд,4217126359
"АО ""СТРОЙГАЗМОНТАЖ"", АО ""СГМ""",79 млрд,9729299794
"ООО ""ЕВРОСИБЭНЕРГО-ГИДРОГЕНЕРАЦИЯ""",79 млрд,3812142445
"АО ""НЕФТЕТРАНССЕРВИС""",79 млрд,7731537410
"ООО ""СПАР МИДДЛ ВОЛГА""",79 млрд,5258056945
"ООО ""АБСОЛЮТ""",78 млрд,7451279527
"ООО ""ГАМ-МЕТАЛЛ""",78 млрд,608047860
"ООО ""БЕЛКАМНЕФТЬ""",78 млрд,1835058718
"ООО ""УК ""ТРАНСТЕХСЕРВИС""",78 млрд,1650131524
"АО ""ТАТЭНЕРГОСБЫТ""",78 млрд,1657082308
"ООО ""ГПН-ТРЕЙД ОРЕНБУРГ""",78 млрд,7728720399
"АО ""КОВДОРСКИЙ ГОК""",78 млрд,5104002234
"ООО ""ГОРОДСКОЙ СУПЕРМАРКЕТ""",78 млрд,7705466989
"АО ""РУСАЛ САЯНОГОРСК""",78 млрд,1902014500
"ООО ""ЛОКОТЕХ-СЕРВИС""",77 млрд,7704758153
"ПАО ""КОКС""",77 млрд,4205001274
"ООО ""МСС""",77 млрд,8601049319
"ООО ""ОЗК ТРЕЙДИНГ""",77 млрд,2310170817
"ООО ""БАЛТИЙСКИЙ ЛИЗИНГ""",77 млрд,7826705374
"АО ""ГК ""СТТ""",77 млрд,5256197404
"АО ""ДСК ""АВТОБАН""",76 млрд,7725104641
"ООО ""ЭС""",76 млрд,7704844420
"АО ""АРВИАЙ (РАШЕН ВЕНЧУР ИНВЕСТМЕНТС)""",76 млрд,7706571841
"АО ""ГТЛК""",76 млрд,7720261827
"ООО ""СТЕКЛОИЗОЛИТ""",76 млрд,7716199608
"ООО ""ЭЛКО РУС""",76 млрд,5024177951
"АО ""ВТЗ""",76 млрд,3435900186
"ООО ""РОЛЬФ ЭСТЕЙТ САНКТ-ПЕТЕРБУРГ""",76 млрд,7810019725
"АО ""ТОРГОВЫЙ ДОМ ЮЖНО-СИБИРСКИЙ""",75 млрд,4217107518
"АО ""АТОМЭНЕРГОСБЫТ""",75 млрд,7704228075
"ГОСУДАРСТВЕННАЯ КОРПОРАЦИЯ ""АГЕНТСТВО ПО СТРАХОВАНИЮ ВКЛАДОВ""",75 млрд,7708514824
"ООО ""КЗ ""РОСТСЕЛЬМАШ""",75 млрд,6166048181
"ООО ""СИСТЕМА ПБО""",75 млрд,7710044140
"ООО ""ЛЛК-ИНТЕРНЕШНЛ""",75 млрд,7702583250
"АО ""СУЭК""",75 млрд,7708129854
